                                Installed Skills
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━┳━━━━━━━┳━━━━━━━━━┓
┃ Name                       ┃ Category             ┃ Source ┃ Trust ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━╇━━━━━━━━━┩
│ agent-audit-logging        │ ai-ml                │ local  │ local │ enabled │
│ agent-handoff-protocols    │ ai-ml                │ local  │ local │ enabled │
│ agent-health-monitoring    │ ai-ml                │ local  │ local │ enabled │
│ agent-task-delegation      │ ai-ml                │ local  │ local │ enabled │
│ ai-agent-design            │ ai-ml                │ local  │ local │ enabled │
│ error-recovery-retry       │ ai-ml                │ local  │ local │ enabled │
│ gbrain-lite                │ ai-ml                │ local  │ local │ enabled │
│ memory-management          │ ai-ml                │ local  │ local │ enabled │
│ prompt-engineering         │ ai-ml                │ local  │ local │ enabled │
│ prompt-version-management  │ ai-ml                │ local  │ local │ enabled │
│ token-budget-tracking      │ ai-ml                │ local  │ local │ enabled │
│ kanban-codex-lane          │ autonomous-ai-agents │ local  │ local │ enabled │
│ api-design                 │ backend              │ local  │ local │ enabled │
│ authentication-authorizat… │ backend              │ local  │ local │ enabled │
│ caching-strategies         │ backend              │ local  │ local │ enabled │
│ database-design            │ backend              │ local  │ local │ enabled │
│ message-queues             │ backend              │ local  │ local │ enabled │
│ microservices              │ backend              │ local  │ local │ enabled │
│ nodejs-patterns            │ backend              │ local  │ local │ enabled │
│ python-patterns            │ backend              │ local  │ local │ enabled │
│ serverless-patterns        │ backend              │ local  │ local │ enabled │
│ ideation                   │ creative             │ local  │ local │ enabled │
│ accessibility              │ design               │ local  │ local │ enabled │
│ ui-design-system           │ design               │ local  │ local │ enabled │
│ api-documentation          │ development          │ local  │ local │ enabled │
│ architecture-decision-rec… │ development          │ local  │ local │ enabled │
│ clean-code                 │ development          │ local  │ local │ enabled │
│ code-review                │ development          │ local  │ local │ enabled │
│ debugging-mastery          │ development          │ local  │ local │ enabled │
│ dependency-management      │ development          │ local  │ local │ enabled │
│ documentation-generation   │ development          │ local  │ local │ enabled │
│ git-workflow               │ development          │ local  │ local │ enabled │
│ hyperframes                │ development          │ local  │ local │ enabled │
│ hyperframes-cli            │ development          │ local  │ local │ enabled │
│ hyperframes-media          │ development          │ local  │ local │ enabled │
│ knowledge-base             │ development          │ local  │ local │ enabled │
│ markdown-mastery           │ development          │ local  │ local │ enabled │
│ refactoring-patterns       │ development          │ local  │ local │ enabled │
│ technical-writing          │ development          │ local  │ local │ enabled │
│ testing-strategies         │ development          │ local  │ local │ enabled │
│ ci-cd-pipeline             │ devops               │ local  │ local │ enabled │
│ cloud-architecture         │ devops               │ local  │ local │ enabled │
│ docker-patterns            │ devops               │ local  │ local │ enabled │
│ kubernetes-patterns        │ devops               │ local  │ local │ enabled │
│ monitoring-observability   │ devops               │ local  │ local │ enabled │
│ sre-practices              │ devops               │ local  │ local │ enabled │
│ terraform-iac              │ devops               │ local  │ local │ enabled │
│ webhook-subscriptions      │ devops               │ local  │ local │ enabled │
│ component-design-systems   │ frontend             │ local  │ local │ enabled │
│ frontend-testing           │ frontend             │ local  │ local │ enabled │
│ nextjs-patterns            │ frontend             │ local  │ local │ enabled │
│ react-patterns             │ frontend             │ local  │ local │ enabled │
│ responsive-design          │ frontend             │ local  │ local │ enabled │
│ state-management           │ frontend             │ local  │ local │ enabled │
│ tailwind-css               │ frontend             │ local  │ local │ enabled │
│ web-performance            │ frontend             │ local  │ local │ enabled │
│ native-mcp                 │ mcp                  │ local  │ local │ enabled │
│ spotify                    │ media                │ local  │ local │ enabled │
│ fine-tuning-with-trl       │ mlops                │ local  │ local │ enabled │
│ Product Strategy           │ product              │ local  │ local │ enabled │
│ User Research              │ product              │ local  │ local │ enabled │
│ linear                     │ productivity         │ local  │ local │ enabled │
│ secure-coding              │ security             │ local  │ local │ enabled │
│ security-audit             │ security             │ local  │ local │ enabled │
│ debugging-hermes-tui-comm… │ software-development │ local  │ local │ enabled │
│ hermes-s6-container-super… │ software-development │ local  │ local │ enabled │
│ subagent-driven-developme… │ software-development │ local  │ local │ enabled │
│ writing-plans              │ software-development │ local  │ local │ enabled │
│ accessibility-testing      │ testing-qa           │ local  │ local │ enabled │
│ api-testing                │ testing-qa           │ local  │ local │ enabled │
│ e2e-testing                │ testing-qa           │ local  │ local │ enabled │
│ performance-testing        │ testing-qa           │ local  │ local │ enabled │
│ test-strategy              │ testing-qa           │ local  │ local │ enabled │
└────────────────────────────┴──────────────────────┴────────┴───────┴─────────┘
0 hub-installed, 0 builtin, 73 local — 73 enabled, 0 disabled
