                                Installed Skills
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━┩
│ create-voltagent      │                      │ builtin  │ builtin  │ enabled │
│ dogfood               │                      │ builtin  │ builtin  │ enabled │
│ voltagent-best-pract… │                      │ builtin  │ builtin  │ enabled │
│ voltagent-core-refer… │                      │ builtin  │ builtin  │ enabled │
│ voltagent-docs-bundle │                      │ builtin  │ builtin  │ enabled │
│ yuanbao               │                      │ builtin  │ builtin  │ enabled │
│ apple-notes           │ apple                │ builtin  │ builtin  │ enabled │
│ apple-reminders       │ apple                │ builtin  │ builtin  │ enabled │
│ findmy                │ apple                │ builtin  │ builtin  │ enabled │
│ imessage              │ apple                │ builtin  │ builtin  │ enabled │
│ macos-computer-use    │ apple                │ builtin  │ builtin  │ enabled │
│ claude-code           │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ codex                 │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ hermes-agent          │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ kanban-codex-lane     │ autonomous-ai-agents │ local    │ local    │ enabled │
│ opencode              │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ architecture-diagram  │ creative             │ builtin  │ builtin  │ enabled │
│ ascii-art             │ creative             │ builtin  │ builtin  │ enabled │
│ ascii-video           │ creative             │ builtin  │ builtin  │ enabled │
│ baoyu-article-illust… │ creative             │ official │ official │ enabled │
│ baoyu-comic           │ creative             │ official │ official │ enabled │
│ baoyu-infographic     │ creative             │ builtin  │ builtin  │ enabled │
│ claude-design         │ creative             │ builtin  │ builtin  │ enabled │
│ comfyui               │ creative             │ builtin  │ builtin  │ enabled │
│ design-md             │ creative             │ builtin  │ builtin  │ enabled │
│ excalidraw            │ creative             │ builtin  │ builtin  │ enabled │
│ humanizer             │ creative             │ builtin  │ builtin  │ enabled │
│ ideation              │ creative             │ local    │ local    │ enabled │
│ manim-video           │ creative             │ builtin  │ builtin  │ enabled │
│ p5js                  │ creative             │ builtin  │ builtin  │ enabled │
│ pixel-art             │ creative             │ official │ official │ enabled │
│ popular-web-designs   │ creative             │ builtin  │ builtin  │ enabled │
│ pretext               │ creative             │ builtin  │ builtin  │ enabled │
│ sketch                │ creative             │ builtin  │ builtin  │ enabled │
│ songwriting-and-ai-m… │ creative             │ builtin  │ builtin  │ enabled │
│ touchdesigner-mcp     │ creative             │ builtin  │ builtin  │ enabled │
│ jupyter-live-kernel   │ data-science         │ builtin  │ builtin  │ enabled │
│ webhook-subscriptions │ devops               │ local    │ local    │ enabled │
│ himalaya              │ email                │ builtin  │ builtin  │ enabled │
│ minecraft-modpack-se… │ gaming               │ official │ official │ enabled │
│ pokemon-player        │ gaming               │ official │ official │ enabled │
│ codebase-inspection   │ github               │ builtin  │ builtin  │ enabled │
│ github-auth           │ github               │ builtin  │ builtin  │ enabled │
│ github-code-review    │ github               │ builtin  │ builtin  │ enabled │
│ github-issues         │ github               │ builtin  │ builtin  │ enabled │
│ github-pr-workflow    │ github               │ builtin  │ builtin  │ enabled │
